Codigo,Descripcion,Existencias,Costo total
"CR040","ESPIGA TUBO 5/16 X MANG 5/16 REF ATBC 0505",10.0000,0.00
"CR043","Adaptador hembra 5/16 X ROSCA 5/8 REF. AFAB0508F",119.0000,24753.00
"CR060","Clip de seguridad  3/8 REF. ALC 06",96.0000,0.00
"CR070","T IGUAL 5/16 REF. ATU050505",4.0000,0.00
"CR073","Adaptador hembra 5/16 X 3/4 REF. AFAB 0509F",16.0000,0.00
"DL006","DETERGENTE TM DESANAMAX SOBRE 45GR",-35.0000,0.00
"DL018","TANQUETA LIMPIEZA 9L INOX 1 + 2 TOMAS",1.0000,0.00
"EM","EMPAQUE LLAVE DE AGUA",19.0000,169100.00
"F0201-0009","Control de tiempo para secador de manos",0.0000,0.00
"F0301","Sensor bombillo para secador de manos",0.0000,0.00
"F20A","FUSIBLE MICROONDAS",70.0000,17500.00
"G11","Válvula Estufa Humcar 1/4",14997.0000,304710.00
"GM001","GRIFO NOA INOX 60 D COMPENSADOR",1.0000,0.00
"GM004","GRIFO DENIA INOX 60D COMPENSADOR 1/2 15MM PARA QUEEN",2.0000,0.00
"GM101","Cola grifo Noa  60 D L15 1/2 CART. JG 3/8",1.0000,0.00
"GM205","ROSCA GRIFO NOA PARA APRETAR LA COLA",1.0000,0.00
"HE002","Cortatubo",1.0000,0.00
"HE025","Cepillo limpieza grifo",1.0000,0.00
"HP165007","Henny Penny Top assy",0.0000,0.00
"HP16518","Complete set  insulation",1.0000,1022037.00
"HP16889","Henny Penny Top assy",0.0000,0.00
"J1411","kit cuchilla licuadora",0.0000,0.00
"KPD1001","Patas Unox 35x5",3.0000,60000.00
"N-0001","Motor ventilador",-2.0000,-61724.00
"N-0002","Interruptor codillo 3 posiciones",0.0000,0.00
"N-0003","TAPA CAJON FILTRADO",0.0000,0.00
"N-0004","Arrancador  12-18 AMP",0.0000,0.00
"N-0005","Toma doble blanco",0.0000,0.00
"N-0006","Interruptor sencillo",0.0000,0.00
"N-0007","Interruptor doble",1.0000,5246.00
"N-0008","Tubo T8 32W",0.0000,0.00
"N-0009","RODAMIENTOS  6004",0.0000,0.00
"N-0010","Lamina en acrilico",3.0000,88236.00
"N-0011","Resistencia sellado 6 * 0.2 mm",0.0000,0.00
"N-0012","Tubo T8 17W",0.0000,0.00
"N-0013","Arrancador 4-6 AMP",0.0000,0.00
"N-0014","Arrancador 7-10 AAMP",0.0000,0.00
"N-0015","Regulador Madas de 1/2",0.0000,0.00
"N-0016","Kit de Fibras",-1.0000,-307157.00
"N-0017","Lozas HF Josper",0.0000,0.00
"N-0018","Cable de alta",0.0000,0.00
"N-0019","Buje superior",0.0000,0.00
"N-0020","Clavija  3x20",1.0000,2941.00
"N-0021","RODAMIENTO 608",4.0000,44000.00
"N-0022","Rodachina  2 1/2"" sin freno",0.0000,0.00
"N-0023","Rodachina  2 1/2"" con freno",-4.0000,-28572.00
"N-0024","Patas horno ",1.0000,5336.00
"N-0025","Manguera suministro de gas",6.0000,156000.00
"N-0026","Módulos Led color rojo",60.0000,114000.00
"N-0027","ORING 111",0.0000,0.00
"N-0028","MICRO SWITCH MICROONDAS",3.0000,3780.00
"N-0029","DIODO MICROONDAS",0.0000,0.00
"N-0030","TERMICO MAGNETRON",1.0000,5882.00
"N-0031","TERMICO CARCASA",3.0000,9000.00
"N-0032","TANQUE DE CONDENSACIÓN",1.0000,70000.00
"N-0033","Codo llave galvanizada",2.0000,4000.00
"N-0034","TEE GALVANIZADA DE 1/2",0.0000,0.00
"N-0035","NIPLE ROSCA DE 1/2",0.0000,0.00
"N-0036","Capacitor",-1.0000,-12000.00
"N-0037","Kit de fibras nacionales 1 pulgada",1.0000,57606.00
"N-0039","RUEDA GIRATORIA CON FRENO 4""",1.0000,21954.00
"N-0040","RUEDA GIRATORIA DE 4""  SIN FRENO",-1.0000,-21148.00
"N-0041","RUEDA DE 3""",4.0000,74084.00
"N-0042","SOPORTE DE RODACHINAS",4.0000,60000.00
"N-0043","Cajon de fibras ",0.0000,0.00
"N-0046","TARJETA DE CONTROL HORNO MICROONDAS",0.0000,0.00
"N-0047","Cable encauchetado  3X16",8.0000,15608.00
"N-0048","Vlavija 15 Amp con polo a tierra",4.0000,9480.00
"N-0049","TAPA CIEGA 4X4 GALVANIZADA",2.0000,1324.00
